class	verdict	registration_name	image_occurrences	nul_terminated_runs	zh_registers_it	ledger_rows	claimed_rvas
AIUpdateInterface	REGISTERED	AIUpdateInterface	4	1	yes	2	0x001167E0 0x0011CB70
AODCrushCollide	REGISTERED	AODCrushCollide	1	1	no	2	0x0011EC20 0x0011ECA0
AODHordeContain	REGISTERED	AODHordeContain	2	1	no	2	0x001161D0 0x00122FD0
ActiveBody	REGISTERED	ActiveBody	2	1	yes	2	0x0011F3A0 0x0011F420
ActiveShroudUpgrade	ABSENT	ActiveShroudUpgrade	0	0	yes	1	0x0011D950
AimWeaponBehavior	REGISTERED	AimWeaponBehavior	2	1	no	2	0x00115130 0x001151B0
AnimalAIUpdate	REGISTERED	AnimalAIUpdate	3	1	no	2	0x00116990 0x00116A10
AnimatedParticleSysBoneClientUpdate	REGISTERED	AnimatedParticleSysBoneClientUpdate	1	1	yes	1	0x00121A70
AnimationSoundClientBehavior	REGISTERED	AnimationSoundClientBehavior	3	1	no	2	0x00121D20 0x00121DA0
AnimationSteeringUpdate	ABSENT	AnimationSteeringUpdate	0	0	yes	1	0x00114B50
ArmorUpgrade	REGISTERED	ArmorUpgrade	3	3	yes	2	0x0011D090 0x0012AF20
ArrowStormUpdate	REGISTERED	ArrowStormUpdate	2	1	no	2	0x00118EB0 0x00118F30
AssaultTransportAIUpdate	REGISTERED	AssaultTransportAIUpdate	1	1	yes	2	0x001187F0 0x00118870
AssistedTargetingUpdate	REGISTERED	AssistedTargetingUpdate	1	1	yes	2	0x00117C40 0x001237B0
AttributeModifierAuraUpdate	REGISTERED	AttributeModifierAuraUpdate	2	1	no	2	0x0011A8D0 0x0011A950
AttributeModifierUpgrade	REGISTERED	AttributeModifierUpgrade	1	1	no	2	0x0011DE20 0x0012B950
AudioLoopUpgrade	REGISTERED	AudioLoopUpgrade	1	1	no	1	0x0011E0B0
AutoAbilityBehavior	REGISTERED	AutoAbilityBehavior	1	1	no	2	0x00114F10 0x00114F90
AutoDepositUpdate	REGISTERED	AutoDepositUpdate	1	1	yes	2	0x0011A600 0x00123F20
AutoFindHealingUpdate	REGISTERED	AutoFindHealingUpdate	1	1	yes	2	0x00119780 0x00119800
AutoHealBehavior	REGISTERED	AutoHealBehavior	2	1	yes	2	0x00114200 0x00129E40
AutoHealBehaviorModuleData	REGISTERED	AutoHealBehavior	2	1	yes	1	0x00204F30
AutoPickUpUpdate	REGISTERED	AutoPickUpUpdate	8	1	no	2	0x00119AB0 0x00119B30
BaikonurLaunchPower	ABSENT	BaikonurLaunchPower	0	0	yes	1	0x0011F8B0
BannerCarrierUpdate	REGISTERED	BannerCarrierUpdate	1	1	no	2	0x00119BC0 0x00119C40
BaseRegenerateUpdate	ABSENT	BaseRegenerateUpdate	0	0	yes	1	0x00117E40
BaseUpgrade	REGISTERED	BaseUpgrade	1	1	no	2	0x0011D110 0x0011D190
BattleBusSlowDeathBehavior	ABSENT	BattleBusSlowDeathBehavior	0	0	yes	0	
BattlePlanUpdate	REGISTERED	BattlePlanUpdate	1	1	yes	2	0x00119CD0 0x00119D50
BeaconClientUpdate	REGISTERED	BeaconClientUpdate	1	1	yes	2	0x00121B70 0x00121BF0
BehaviorModule	UNREGISTERED_NAMED	BehaviorModule	1	1	no	2	0x006CF680
BezierProjectileBehavior	REGISTERED	BezierProjectileBehavior	1	1	no	2	0x00115240 0x001152C0
BloodthirstyUpdate	REGISTERED	BloodthirstyUpdate	1	1	no	1	0x00114030
BoneFXDamage	REGISTERED	BoneFXDamage	3	2	yes	2	0x0011E800 0x00122D80
BoneFXUpdate	REGISTERED	BoneFXUpdate	3	2	yes	2	0x00117CC0 0x00123830
BridgeBehavior	REGISTERED	BridgeBehavior	2	1	yes	2	0x00114790 0x00114810
BridgeScaffoldBehavior	REGISTERED	BridgeScaffoldBehavior	1	1	yes	1	0x001148B0
BridgeTowerBehavior	REGISTERED	BridgeTowerBehavior	1	1	yes	2	0x00114930 0x00125220
BroadcastStealthUpdate	REGISTERED	BroadcastStealthUpdate	1	1	no	2	0x0011B370 0x0012A350
BuildingBehavior	REGISTERED	BuildingBehavior	1	1	no	1	0x00114670
BunkerBusterBehavior	ABSENT	BunkerBusterBehavior	0	0	yes	1	0x0011CB70
CashBountyPower	ABSENT	CashBountyPower	0	0	yes	0	
CashHackSpecialPower	REGISTERED	CashHackSpecialPower	1	1	yes	2	0x0011FD70 0x0011FDF0
CastleBehavior	REGISTERED	CastleBehavior	3	1	no	1	0x00114440
CastleMemberBehavior	REGISTERED	CastleMemberBehavior	1	1	no	1	0x00114550
CastleUpgrade	REGISTERED	CastleUpgrade	1	1	no	2	0x0011DEA0 0x0012BA80
CaveContain	REGISTERED	CaveContain	1	1	yes	2	0x00115AB0 0x0012ABC0
CheckpointUpdate	ABSENT	CheckpointUpdate	0	0	yes	0	
ChinookAIUpdate	ABSENT	ChinookAIUpdate	0	0	yes	0	
CivilianSpawnCollide	REGISTERED	CivilianSpawnCollide	1	1	no	2	0x0011F210 0x0011F290
CivilianSpawnUpdate	REGISTERED	CivilianSpawnUpdate	2	1	no	2	0x00116AE0 0x00116B60
CleanupAreaPower	ABSENT	CleanupAreaPower	0	0	yes	0	
CleanupHazardUpdate	ABSENT	CleanupHazardUpdate	0	0	yes	1	0x0011AE40
ClearanceTestingSlowDeathBehavior	REGISTERED	ClearanceTestingSlowDeathBehavior	1	1	no	2	0x00117290 0x00117310
ClickReactionBehavior	REGISTERED	ClickReactionBehavior	2	1	no	2	0x00114C60 0x00114CF0
CloudBreakSpecialPower	REGISTERED	CloudBreakSpecialPower	1	1	no	2	0x001205F0 0x00120670
CollideModule	UNREGISTERED_NAMED	CollideModule	1	1	no	1	0x00124080
CombineHordeSpecialPower	REGISTERED	CombineHordeSpecialPower	1	1	no	2	0x00121840 0x001218C0
CommandButtonHuntUpdate	REGISTERED	CommandButtonHuntUpdate	2	1	yes	2	0x00119890 0x00119910
CommandSetUpgrade	REGISTERED	CommandSetUpgrade	1	1	yes	2	0x0011D220 0x0012B0B0
ContestableContain	REGISTERED	ContestableContain	2	1	no	2	0x00116140 0x001165C0
ConvertToCarBombCrateCollide	ABSENT	ConvertToCarBombCrateCollide	0	0	yes	1	0x00125FD0
ConvertToHijackedVehicleCrateCollide	ABSENT	ConvertToHijackedVehicleCrateCollide	0	0	yes	0	
CostModifierUpgrade	REGISTERED	CostModifierUpgrade	4	2	yes	2	0x0011D9D0 0x0011DB70
CountermeasuresBehavior	ABSENT	CountermeasuresBehavior	0	0	yes	1	0x00117420
CountermeasuresBehaviorModuleData	ABSENT	CountermeasuresBehavior	0	0	yes	1	0x00123180
CreateCrateDie	REGISTERED	CreateCrateDie	2	1	yes	2	0x00117760 0x00129A30
CreateCrateDieModuleData	REGISTERED	CreateCrateDie	2	1	yes	1	0x00123290
CreateObjectDie	REGISTERED	CreateObjectDie	1	1	yes	2	0x001177E0 0x00117860
CritterEmitterUpdate	REGISTERED	CritterEmitterUpdate	1	1	no	2	0x00115730 0x00121950
CrushDie	REGISTERED	CrushDie	2	1	yes	2	0x00117900 0x00123460
CrushDieModuleData	REGISTERED	CrushDie	2	1	yes	1	0x00123350
DamDie	ABSENT	DamDie	0	0	yes	1	0x00114D70
DamageModule	UNREGISTERED_NAMED	DamageModule	1	1	no	1	0x00124080
DamageModuleData	UNREGISTERED_NAMED	Damage	192	13	no	1	0x00122D60
DarknessSpecialPower	REGISTERED	DarknessSpecialPower	1	1	no	2	0x00120920 0x001209A0
DefaultProductionExitUpdate	REGISTERED	DefaultProductionExitUpdate	1	1	yes	2	0x00117D40 0x00123910
DefectorSpecialPower	REGISTERED	DefectorSpecialPower	1	1	yes	2	0x0011FE80 0x0011FF00
DeflectSpecialPower	REGISTERED	DeflectSpecialPower	1	1	no	2	0x00120B40 0x00120BC0
DelayedDeathBody	REGISTERED	DelayedDeathBody	1	1	no	1	0x0011F830
DelayedLuaEventUpdate	REGISTERED	DelayedLuaEventUpdate	1	1	no	2	0x0011BC70 0x0011BCF0
DelayedUpgrade	REGISTERED	DelayedUpgrade	1	1	no	2	0x0011D2A0 0x0012B200
DeletionUpdate	REGISTERED	DeletionUpdate	2	1	yes	2	0x00117EF0 0x001239B0
DeliverPayloadAIUpdate	ABSENT	DeliverPayloadAIUpdate	0	0	yes	0	
DemoTrapUpdate	REGISTERED	DemoTrapUpdate	1	1	yes	2	0x001199A0 0x00119A20
DemoralizeSpecialPower	ABSENT	DemoralizeSpecialPower	0	0	yes	0	
DeployStyleAIUpdate	REGISTERED	DeployStyleAIUpdate	1	1	yes	2	0x00118670 0x001186F0
DestroyDie	REGISTERED	DestroyDie	2	2	yes	1	0x00117990
DestroyEnvironmentUpdate	REGISTERED	DestroyEnvironmentUpdate	1	1	no	2	0x0011C420 0x0011C4A0
DetachableRiderBody	REGISTERED	DetachableRiderBody	2	1	no	1	0x0011FA50
DetachableRiderUpdate	REGISTERED	DetachableRiderUpdate	2	1	no	1	0x0011CAF0
DevastateSpecialPower	REGISTERED	DevastateSpecialPower	1	1	no	2	0x00121510 0x00121590
